slice,strategy,family,scenario,cost_bps,execution_delay_days,train_start,train_end,test_start,test_end,CAGR,MaxDD,Calmar,Sharpe_DailyExcess,Final_Equity,Benchmark_TQQQ_CAGR,Benchmark_TQQQ_MaxDD,total_turnover,annualized_turnover,trade_days,avg_turnover_on_trade_days,total_cost_rate,final_cost_drag,MaxEffectiveLeverage,AvgEffectiveLeverage,PeriodicRebalance
2019_2021,MA150 risk-off QQQ,ma_regime,cost_10bps_delay0d,10.0,0,2015-01-01,2018-12-31,2019-01-01,2021-12-31,0.9112884133027739,-0.5892025979102314,1.5466469708974606,1.3437674455301032,6.992951934696306,1.067313331072202,-0.6992208260196829,19.0,6.324966974900924,10,1.9,0.019,0.13426837285039728,3.0,2.8494055482166445,False
2019_2021,MA150 risk-off QQQ,ma_regime,cost_25bps_delay0d,25.0,0,2015-01-01,2018-12-31,2019-01-01,2021-12-31,0.8941267036756193,-0.5928960588295361,1.508066532674811,1.3290780551013426,6.795803525605663,1.067313331072202,-0.6992208260196829,19.0,6.324966974900924,10,1.9,0.0475,0.33141678194103985,3.0,2.8494055482166445,False
2019_2021,MA150 risk-off QQQ,ma_regime,cost_50bps_delay0d,50.0,0,2015-01-01,2018-12-31,2019-01-01,2021-12-31,0.8657525292959425,-0.5990025154039589,1.4453236956978237,1.3043718864256644,6.478284484171783,1.067313331072202,-0.6992208260196829,19.0,6.324966974900924,10,1.9,0.095,0.6489358233749201,3.0,2.8494055482166445,False
2019_2021,MA150 risk-off QQQ,ma_regime,stress_10bps_delay1d,10.0,1,2015-01-01,2018-12-31,2019-01-01,2021-12-31,0.8535519628888015,-0.6050678574831359,1.4106714682205563,1.278199932195084,6.377394694459098,1.067313331072202,-0.6992208260196829,19.0,6.324966974900924,10,1.9,0.019,0.12244934852208544,3.0,2.846763540290621,False
2019_2021,MA150 risk-off QQQ,ma_regime,stress_25bps_delay1d,25.0,1,2015-01-01,2018-12-31,2019-01-01,2021-12-31,0.8369086764310698,-0.6086186745689862,1.3750952959564622,1.2635437768700688,6.197600348681092,1.067313331072202,-0.6992208260196829,19.0,6.324966974900924,10,1.9,0.0475,0.302243694300091,3.0,2.846763540290621,False
2019_2021,MA200 risk-off QQQ,ma_regime,base_0bps,0.0,0,2015-01-01,2018-12-31,2019-01-01,2021-12-31,0.9317829528789054,-0.5867279213973822,1.588100581032043,1.3616849499465908,7.227860187237439,1.067313331072202,-0.6992208260196829,23.0,7.656538969616909,12,1.9166666666666667,0.0,0.0,3.0,2.857331571994716,False
2019_2021,MA200 risk-off QQQ,ma_regime,cost_5bps_delay0d,5.0,0,2015-01-01,2018-12-31,2019-01-01,2021-12-31,0.9247185151093746,-0.5879664982302262,1.5727401440265203,1.3555737390042932,7.145175692239429,1.067313331072202,-0.6992208260196829,23.0,7.656538969616909,12,1.9166666666666667,0.0115,0.08268449499800923,3.0,2.857331571994716,False
2019_2021,MA200 risk-off QQQ,ma_regime,cost_10bps_delay0d,10.0,0,2015-01-01,2018-12-31,2019-01-01,2021-12-31,0.9176728753900381,-0.5892025979102313,1.5574827379322778,1.3494508952866362,7.063357461750792,1.067313331072202,-0.6992208260196829,23.0,7.656538969616909,12,1.9166666666666667,0.023,0.16450272548664646,3.0,2.857331571994716,False
2019_2021,MA200 risk-off QQQ,ma_regime,cost_25bps_delay0d,25.0,0,2015-01-01,2018-12-31,2019-01-01,2021-12-31,0.8966484320374284,-0.5928960588295362,1.5123197712049965,1.3310144186450643,6.823018293967308,1.067313331072202,-0.6992208260196829,23.0,7.656538969616909,12,1.9166666666666667,0.057499999999999996,0.404841893270131,3.0,2.857331571994716,False
2019_2021,MA200 risk-off QQQ,ma_regime,cost_50bps_delay0d,50.0,0,2015-01-01,2018-12-31,2019-01-01,2021-12-31,0.8619807406032713,-0.5990025154039587,1.4390269129704139,1.3000717007917035,6.439022823456926,1.067313331072202,-0.6992208260196829,23.0,7.656538969616909,12,1.9166666666666667,0.11499999999999999,0.7888373637805124,3.0,2.857331571994716,False
2019_2021,MA200 risk-off QQQ,ma_regime,stress_10bps_delay1d,10.0,1,2015-01-01,2018-12-31,2019-01-01,2021-12-31,0.885043111815089,-0.6050678574831356,1.4627171165504471,1.3007243383455145,6.708445479231609,1.067313331072202,-0.6992208260196829,23.0,7.656538969616909,12,1.9166666666666667,0.023,0.15623696961227296,3.0,2.8546895640686922,False
2019_2021,MA200 risk-off QQQ,ma_regime,stress_25bps_delay1d,25.0,1,2015-01-01,2018-12-31,2019-01-01,2021-12-31,0.8643764055013126,-0.6086186745689862,1.4202265583017968,1.2830591093904287,6.480182615242326,1.067313331072202,-0.6992208260196829,23.0,7.656538969616909,12,1.9166666666666667,0.05750000000000001,0.3844998336015566,3.0,2.8546895640686922,False
2019_2021,MA150 risk-off cash,ma_regime,base_0bps,0.0,0,2015-01-01,2018-12-31,2019-01-01,2021-12-31,0.7765902146281174,-0.5480637431168349,1.4169706067612755,1.2422878807029303,5.620205851455557,1.067313331072202,-0.6992208260196829,9.0,2.9960369881109643,9,1.0,0.0,0.0,3.0,2.774108322324967,False
2019_2021,MA150 risk-off cash,ma_regime,cost_5bps_delay0d,5.0,0,2015-01-01,2018-12-31,2019-01-01,2021-12-31,0.7739301774555252,-0.5487413086064589,1.410373458890745,1.2397740244786752,5.594965448008736,1.067313331072202,-0.6992208260196829,9.0,2.9960369881109643,9,1.0,0.0045000000000000005,0.02524040344682099,3.0,2.774108322324967,False
2019_2021,MA150 risk-off cash,ma_regime,cost_10bps_delay0d,10.0,0,2015-01-01,2018-12-31,2019-01-01,2021-12-31,0.7712727950516367,-0.54941819653065,1.4037991459363872,1.2372572988156965,5.569825854813242,1.067313331072202,-0.6992208260196829,9.0,2.9960369881109643,9,1.0,0.009000000000000001,0.05037999664231485,3.0,2.774108322324967,False
2019_2021,MA150 risk-off cash,ma_regime,cost_25bps_delay0d,25.0,0,2015-01-01,2018-12-31,2019-01-01,2021-12-31,0.7633165632243115,-0.551444798300146,1.3842121016958904,1.2296900634037802,5.4950084171870985,1.067313331072202,-0.6992208260196829,9.0,2.9960369881109643,9,1.0,0.0225,0.12519743426845853,3.0,2.774108322324967,False
2019_2021,MA150 risk-off cash,ma_regime,cost_50bps_delay0d,50.0,0,2015-01-01,2018-12-31,2019-01-01,2021-12-31,0.7501091487588982,-0.5548089482428482,1.3520134293698598,1.217022100946729,5.372296201630527,1.067313331072202,-0.6992208260196829,9.0,2.9960369881109643,9,1.0,0.045,0.24790964982503017,3.0,2.774108322324967,False
2019_2021,MA150 risk-off cash,ma_regime,stress_10bps_delay1d,10.0,1,2015-01-01,2018-12-31,2019-01-01,2021-12-31,0.7026754128499813,-0.6105932495809996,1.1508076994499532,1.1553656162978532,4.9466682374608535,1.067313331072202,-0.6992208260196829,9.0,2.9960369881109643,9,1.0,0.009000000000000001,0.04474343286308535,3.0,2.7701453104359315,False
2019_2021,MA150 risk-off cash,ma_regime,stress_25bps_delay1d,25.0,1,2015-01-01,2018-12-31,2019-01-01,2021-12-31,0.6950273078549924,-0.6129267666127046,1.1339483698778738,1.1478415443662962,4.880221448645425,1.067313331072202,-0.6992208260196829,9.0,2.9960369881109643,9,1.0,0.0225,0.11119022167851345,3.0,2.7701453104359315,False
2022_2023,TQQQ buy-and-hold,raw_tqqq,base_0bps,0.0,0,2015-01-01,2021-12-31,2022-01-01,2023-12-29,-0.22287511426595885,-0.8101575321557064,-0.27510095928247674,0.039264954552402254,0.6057386897238047,-0.22287511426595974,-0.8101575321557068,1.0,0.5029940119760479,1,1.0,0.0,0.0,3.0,3.0,False
2022_2023,TQQQ buy-and-hold,raw_tqqq,cost_5bps_delay0d,5.0,0,2015-01-01,2021-12-31,2022-01-01,2023-12-29,-0.22287511426595974,-0.8101575321557066,-0.2751009592824778,0.0392649545524011,0.6054358203789415,-0.22287511426595974,-0.8101575321557068,1.0,0.5029940119760479,1,1.0,0.0005,0.00030286934486323247,3.0,3.0,False
2022_2023,TQQQ buy-and-hold,raw_tqqq,cost_10bps_delay0d,10.0,0,2015-01-01,2021-12-31,2022-01-01,2023-12-29,-0.22287511426595907,-0.8101575321557064,-0.275100959282477,0.03926495455240139,0.6051329510340805,-0.22287511426595974,-0.8101575321557068,1.0,0.5029940119760479,1,1.0,0.001,0.0006057386897242445,3.0,3.0,False
2022_2023,TQQQ buy-and-hold,raw_tqqq,cost_25bps_delay0d,25.0,0,2015-01-01,2021-12-31,2022-01-01,2023-12-29,-0.22287511426595907,-0.8101575321557064,-0.275100959282477,0.03926495455240183,0.6042243429994949,-0.22287511426595974,-0.8101575321557068,1.0,0.5029940119760479,1,1.0,0.0025,0.001514346724309834,3.0,3.0,False
2022_2023,TQQQ buy-and-hold,raw_tqqq,cost_50bps_delay0d,50.0,0,2015-01-01,2021-12-31,2022-01-01,2023-12-29,-0.22287511426595963,-0.8101575321557066,-0.27510095928247763,0.0392649545524011,0.6027099962751845,-0.22287511426595974,-0.8101575321557068,1.0,0.5029940119760479,1,1.0,0.005,0.0030286934486202233,3.0,3.0,False
